L4 | Sun Nov 14 20:31:29 2021 (61 ms) | general | New game starting up
L4 | Sun Nov 14 20:31:29 2021 (61 ms) | general | Target game image size:  1280x720

L4 | Sun Nov 14 20:31:29 2021 (62 ms) | general | Ideal window dimensions:  640x480

L4 | Sun Nov 14 20:31:29 2021 (62 ms) | general | Trying to start in fullscreen mode.
L4 | Sun Nov 14 20:31:29 2021 (63 ms) | general | The following frame rates are considered possible:
L4 | Sun Nov 14 20:31:29 2021 (63 ms) | general | 60 fps
L4 | Sun Nov 14 20:31:29 2021 (63 ms) | general | 120 fps
L4 | Sun Nov 14 20:31:29 2021 (63 ms) | general | 144 fps
L4 | Sun Nov 14 20:31:29 2021 (71 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Sun Nov 14 20:31:29 2021 (71 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Sun Nov 14 20:31:29 2021 (71 ms) | general | Sticking with user's current screen resolution
L4 | Sun Nov 14 20:31:29 2021 (72 ms) | general | Checking if requested video mode (1920x1080) is available
L4 | Sun Nov 14 20:31:29 2021 (72 ms) | general | Available video modes:
L5 | Sun Nov 14 20:31:29 2021 (72 ms) | general |    1920 x 1080

L4 | Sun Nov 14 20:31:29 2021 (72 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Sun Nov 14 20:31:29 2021 (72 ms) | general |    ^^^^ this mode matches requested mode
L5 | Sun Nov 14 20:31:29 2021 (72 ms) | general |    1680 x 1050

L5 | Sun Nov 14 20:31:29 2021 (72 ms) | general |    1600 x 1024

L5 | Sun Nov 14 20:31:29 2021 (72 ms) | general |    1600 x 900

L4 | Sun Nov 14 20:31:29 2021 (72 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sun Nov 14 20:31:29 2021 (72 ms) | general |    1440 x 900

L5 | Sun Nov 14 20:31:29 2021 (72 ms) | general |    1366 x 768

L4 | Sun Nov 14 20:31:29 2021 (72 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sun Nov 14 20:31:29 2021 (72 ms) | general |    1360 x 768

L4 | Sun Nov 14 20:31:29 2021 (72 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sun Nov 14 20:31:29 2021 (72 ms) | general |    1280 x 1024

L5 | Sun Nov 14 20:31:29 2021 (72 ms) | general |    1280 x 960

L5 | Sun Nov 14 20:31:29 2021 (72 ms) | general |    1280 x 800

L5 | Sun Nov 14 20:31:29 2021 (72 ms) | general |    1280 x 768

L5 | Sun Nov 14 20:31:29 2021 (72 ms) | general |    1280 x 720

L4 | Sun Nov 14 20:31:29 2021 (72 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sun Nov 14 20:31:29 2021 (73 ms) | general |    1176 x 664

L4 | Sun Nov 14 20:31:29 2021 (73 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sun Nov 14 20:31:29 2021 (73 ms) | general |    1152 x 864

L5 | Sun Nov 14 20:31:29 2021 (73 ms) | general |    1024 x 768

L5 | Sun Nov 14 20:31:29 2021 (73 ms) | general |    800 x 600

L5 | Sun Nov 14 20:31:29 2021 (73 ms) | general |    720 x 576

L5 | Sun Nov 14 20:31:29 2021 (73 ms) | general |    720 x 480

L5 | Sun Nov 14 20:31:29 2021 (73 ms) | general |    640 x 480

L4 | Sun Nov 14 20:31:30 2021 (823 ms) | general | Successfully opened audio: 22050Hz (requested 22050Hz), sample buffer size=512 (requested 512)

L1 | Sun Nov 14 20:31:30 2021 (823 ms) | general | CRITICAL ERROR:  TGA file graphics\font_32_64.tga does not exist
L4 | Sun Nov 14 20:31:34 2021 (512 ms) | general | Measured frame rate = 74.975006 fps

L4 | Sun Nov 14 20:31:34 2021 (512 ms) | general | Closest possible frame rate = 60 fps

L4 | Sun Nov 14 20:31:34 2021 (513 ms) | general | Vsync to enforce closested frame rate of 60 fps doesn't seem to be in effect.

L4 | Sun Nov 14 20:31:34 2021 (513 ms) | general | Will sleep each frame to enforce desired frame rate of 60 fps

L4 | Sun Nov 14 20:31:41 2021 (404 ms) | general | exiting...

L4 | Sun Nov 14 20:31:41 2021 (404 ms) | general | exiting: calling SDL_CloseAudio

L4 | Sun Nov 14 20:31:41 2021 (468 ms) | general | exiting: Deleting sceneHandler

L4 | Sun Nov 14 20:31:41 2021 (469 ms) | general | Freeing sound sprites

L4 | Sun Nov 14 20:31:41 2021 (469 ms) | general | exiting: Deleting screen

L4 | Sun Nov 14 20:31:41 2021 (469 ms) | general | exiting: freeing drawString

L4 | Sun Nov 14 20:31:41 2021 (469 ms) | general | exiting: calling SDL_Quit()

L4 | Sun Nov 14 20:31:41 2021 (701 ms) | general | exiting: Done.

